,LAKEw,RIVERw,DAPw,CALAw,CALAa,FAME
C20:0,0.35,0.39,0.32,0.43,0.37,terrFA
C22:0,0.33,0.35,0.32,0.48,0.43,terrFA
C23:0,0.3,0.3,0.3,0.3,0.34,terrFA
C24:0,0.34,0.36,0.31,0.34,0.34,terrFA
C17:0,0.32,0.33,0.43,0.53,0.49,SAFA
C18:0,0.54,0.66,0.72,0.87,0.79,SAFA
C21:0,0.3,0.3,0.32,0.3,0.3,SAFA
C14:0,0.37,0.37,0.47,0.86,0.69,BAFA
C15:0,0.33,0.33,0.43,0.61,0.52,BAFA
C16:0,0.63,0.71,0.98,1.3,1.17,BAFA
C18:1n-12,0.3,0.3,0.3,0.3,0.3,MUFA
C24:1n-9,0.3,0.3,0.3,0.46,0.4,MUFA
C22:1n-9,0.3,0.3,0.3,0.3,0.3,MUFA
C20:1n-9,0.3,0.3,0.3,0.3,0.3,MUFA
C18:1n-9cis,0.39,0.4,0.82,0.89,0.65,BAFA
C18:1n-9trans,0.31,0.3,0.34,0.55,0.46,BAFA
C16:1n-9,0.33,0.37,0.3,0.3,0.38,MUFA
C18:1n-7,0.43,0.4,0.95,0.98,0.81,MUFA
C17:1n-7,0.3,0.3,0.3,0.3,0.3,MUFA
C16:1n-7,0.57,0.48,1.01,1.22,0.95,MUFA
C18:1n-6,0.3,0.3,0.3,0.3,0.3,MUFA
C15:1n-5,0.3,0.3,0.3,0.3,0.3,MUFA
C14:1n-5,0.3,0.3,0.3,0.3,0.3,MUFA
iso-15:0,0.34,0.33,0.43,0.97,0.68,BAFA
anteiso-15:0,0.33,0.33,0.39,0.56,0.42,BAFA
iso-16:0,0.3,0.3,0.38,0.66,0.53,BAFA
iso-17:0,0.47,0.54,0.3,0.53,0.51,BAFA
"9,10?16",0.3,0.3,0.3,0.3,0.3,BAFA
"9,10?18",0.3,0.3,0.3,0.3,0.3,BAFA
C18:2n-6trans,0.3,0.3,0.3,0.3,0.3,n-6 PUFA
C18:2n-6cis,0.35,0.36,0.56,0.77,0.63,n-6 PUFA
C18:3n-6,0.3,0.3,0.42,0.52,0.42,n-6 PUFA
C20:2n-6,0.3,0.3,0.3,0.38,0.35,n-6 PUFA
C20:3n-6,0.3,0.3,0.32,0.35,0.33,n-6 PUFA
C20:4n-6,0.31,0.3,0.87,1,0.87,n-6 PUFA
C22:2n-6,0.3,0.3,0.3,0.3,0.3,n-6 PUFA
C22:4n-6,0.3,0.3,0.3,0.58,0.39,n-6 PUFA
C18:3n-3,0.33,0.35,0.53,0.83,0.71,n-6 PUFA
C18:4n-3,0.3,0.32,0.49,0.66,0.6,n-3 PUFA
C20:3n-3,0.3,0.3,0.3,0.3,0.3,n-3 PUFA
C20:4n-3,0.3,0.3,0.36,0.37,0.35,n-3 PUFA
C20:5n-3,0.34,0.34,1.05,1.25,1.15,n-3 PUFA
C22:3n-3,0.3,0.3,0.3,0.3,0.3,n-3 PUFA
C22:5n-3,0.3,0.3,0.32,0.45,0.41,n-3 PUFA
C22:6n-3,0.32,0.32,0.36,1.3,1.17,n-3 PUFA
