Date,Variable,Value
23/01/2018,NO3,0.0498
13/02/2018,NO3,0.074533333
26/02/2018,NO3,0.043566667
12/03/2018,NO3,0.1164
03/04/2018,NO3,0.061666667
17/04/2018,NO3,0.03925
01/05/2018,NO3,0.083666667
15/05/2018,NO3,0.050866667
28/05/2018,NO3,0.113466667
12/06/2018,NO3,0.11835
26/06/2018,NO3,0.111066667
10/07/2018,NO3,0.0538
24/07/2018,NO3,0.047233333
07/08/2018,NO3,NA
21/08/2018,NO3,0.060233333
03/09/2018,NO3,0.0465
17/09/2018,NO3,0.0545
01/10/2018,NO3,0.029433333
17/10/2018,NO3,0.048
30/10/2018,NO3,0.0611
13/11/2018,NO3,0.0668
26/11/2018,NO3,0.053366667
18/12/2018,NO3,0.057266667
14/01/2019,NO3,0.056166667
28/01/2019,NO3,0.058666667
17/02/2019,NO3,0.058766667
23/01/2018,NH4,NA
13/02/2018,NH4,0
26/02/2018,NH4,0.003448157
12/03/2018,NH4,0.024676696
03/04/2018,NH4,0.010048783
17/04/2018,NH4,0.012150201
01/05/2018,NH4,0.022086136
15/05/2018,NH4,0.004056286
28/05/2018,NH4,0.027973415
12/06/2018,NH4,0.002153905
26/06/2018,NH4,0.007548969
10/07/2018,NH4,0.003682181
24/07/2018,NH4,0.035339392
07/08/2018,NH4,0.02055473
21/08/2018,NH4,0.009535897
03/09/2018,NH4,0.011362348
17/09/2018,NH4,0.014794732
01/10/2018,NH4,0.008750391
17/10/2018,NH4,0.022007661
30/10/2018,NH4,0.011339388
13/11/2018,NH4,0.000115738
26/11/2018,NH4,0.003958183
18/12/2018,NH4,0.009578099
14/01/2019,NH4,0.00148214
28/01/2019,NH4,0.002710627
17/02/2019,NH4,0.006766579
23/01/2018,TN,0.34
13/02/2018,TN,0.356
26/02/2018,TN,0.332
12/03/2018,TN,0.317
03/04/2018,TN,0.331
17/04/2018,TN,0.416
01/05/2018,TN,0.363
15/05/2018,TN,0.436
28/05/2018,TN,0.346
12/06/2018,TN,0.334
26/06/2018,TN,0.406
10/07/2018,TN,0.494
24/07/2018,TN,0.511
07/08/2018,TN,0.438
21/08/2018,TN,0.506
03/09/2018,TN,0.428
17/09/2018,TN,0.465
01/10/2018,TN,0.444
17/10/2018,TN,0.452
30/10/2018,TN,0.441
13/11/2018,TN,0.441
26/11/2018,TN,0.404
18/12/2018,TN,0.4
14/01/2019,TN,0.397
28/01/2019,TN,0.437
17/02/2019,TN,0.388
