CampaignID,Date,Ciliates.cellmL,Cyano.cellmL,Crypto.cellmL,Chryso.cellmL,Dino.cellmL,Diatoms.cellmL,Chloro.cellmL,Eugle.cellmL,Prasi.cellmL,Ciliates.mm3m3,Cyano.mm3m3,Crypto.mm3m3,Chryso.mm3m3,Dino.mm3m3,Diatoms.mm3m3,Chloro.mm3m3,Eugle.mm3m3,Prasi.mm3m3
1,23/01/2018,4.88691,0,0.69813,2.09439,1.39626,27.22707,6.28317,0,0,11.37599295,0,0.089670785,0.19886572,1.40163162,22.13753881,1.351343071,0,0
2,13/02/2018,0.69813,0,2.09439,0.69813,2.09439,13.26447,2.79252,0,0.69813,1.625141849,0,0.269012355,0.066288573,2.10244743,11.00645368,0.740692485,0,0.906559184
3,26/02/2018,7.1013,0,2.09439,0,0,21.64203,17.53325,0,1.39626,21.70857083,0,0.269012355,0,0,26.15912383,4.611087162,0,1.813118368
4,12/03/2018,0,0.16,0,0,0,44.30219,4.18878,0,0,0,15.92037085,0,0,0,31.69313378,50.91592723,0,0
5,03/04/2018,6.9813,60.73731,25.13268,0.69813,0,81.68121,23.73642,0,2.09439,55.36465468,9.13830729,3.228148265,0.066288573,0,71.27738425,7.208150249,0,2.719677552
6,17/04/2018,9.07569,0,23.03829,0,2.79252,108.90828,23.73642,0,0,21.12684404,0,2.959135909,0,2.803263241,115.379624,5.210716961,0,0
7,01/05/2018,2.79252,0,16.05699,0,0,110.30454,36.30276,0,0,6.500567398,0,2.062428058,0,0,87.67612535,9.818442593,0,0
8,15/05/2018,12.02821,0,72.60552,2.79252,0,150.79608,37.69902,0,0,10.46666667,27.62741144,9.325761653,0.265154293,0,158.0033116,8.810934581,0,0
9,28/05/2018,5.78504,0,101.22885,6.28317,0,201.26949,33.05211,0,0,20.10234897,0,15.16722614,0.59659716,0,255.0618416,13.90058809,0,0
10,12/06/2018,9.77382,10.96,701.62065,0,3.49065,91.45503,42.70593,13.26447,0,69.07740868,1.64900039,92.28410134,0,3.504079051,105.089846,10.41621333,43.9524901,0
11,26/06/2018,8.37756,4.36,108.21015,0,3.57065,62.13357,81.80121,0.69813,0,19.50170219,0.655989206,24.72378316,0,8.095231214,71.81130051,43.99602206,2.313288952,0
12,10/07/2018,14.3626,19.88,631.80765,1.39626,0.08,64.92609,81.68121,0,0,35.09520469,2.991070051,110.3017149,0.164156424,4.591152163,72.33521007,113.0298572,0,0
13,24/07/2018,20.9439,125.6634,472.63401,5.34878,11.93008,84.47373,151.67608,0,0,45.10045986,104.2856904,158.6715497,1.484112673,113.3795259,48.5456532,64.02124362,0,0
14,07/08/2018,7.67943,194.08014,119.38023,1.39626,16.29699,161.26803,374.19768,0,0,41.03927174,210.4620651,32.3440562,0.164156424,29.89222012,111.628872,114.2049625,0,0
15,21/08/2018,10.47195,52.75975,209.439,2.79252,5.58504,86.56812,99.83259,0,0,24.37712774,59.86575393,40.89615385,1.872498919,5.606526481,45.86339947,83.86466636,0,0
16,03/09/2018,12.56634,50.96349,100.53072,3.49065,2.09439,71.20926,145.90917,0,0,29.25255329,7.667775083,30.23229141,2.469305822,2.10244743,81.21282681,93.67142191,0,0
17,17/09/2018,6.9813,24.43455,87.26625,0.69813,0.69813,64.92609,75.39804,0,0,16.25141849,3.676330519,37.18839567,0.596806902,0.70081581,67.75604978,29.92916151,0,0
18,01/10/2018,3.49065,0,53.75601,0.69813,0.69813,48.17097,35.64463,0,0,8.125709247,0,35.04916028,0.066288573,0.70081581,43.35565992,10.50998234,0,0
19,17/10/2018,2.09439,0,41.8878,0.69813,1.39626,50.96349,55.8504,0,0,4.875425548,0,27.02987005,0.066288573,1.40163162,46.86131983,61.93266991,0,0
20,30/10/2018,11.17008,0,29.32146,0.69813,0.69813,43.98219,19.54764,0,0,26.00226959,0,55.72526803,0.066288573,0.70081581,40.36864359,12.31529624,0,0
21,13/11/2018,9.07569,0,39.79341,0,3.49065,74.00178,41.18967,0,0.69813,21.12684404,0,24.5958954,0,3.504079051,75.41582613,11.33125976,0,0.906559184
22,26/11/2018,9.77382,0,15.35886,0.69813,2.09439,47.37471,33.55024,0,0,22.75198589,0,6.302681861,0.066288573,2.10244743,38.39262298,16.28366151,0,0
23,18/12/2018,2.17439,0,5.58504,9.07569,4.18878,49.46967,13.9626,0,0,5.233333333,0,5.047290869,0.861751453,4.204894861,50.69856551,3.702809436,0,0
24,14/01/2019,9.77382,0,1.39626,6.9813,3.49065,31.98707,11.17008,0,0,22.75198589,0,0.17934157,0.662885733,3.504079051,37.82371426,2.779323971,0,0
25,28/01/2019,4.18878,0,6.28317,6.9813,2.09439,45.60406,18.15138,0,0,9.750851096,0,0.807037066,0.662885733,2.10244743,49.59554621,4.050205051,0,0
26,17/02/2019,6.9813,0,1.39626,4.88691,0.69813,32.17959,14.66073,0,0,16.25141849,0,0.17934157,0.464020013,0.70081581,27.18373729,4.480420869,0,0
