BottleID,Replicate,Treatment,Size.um
Ci,NA,Cnt_t0,1760
Ci,NA,Cnt_t0,870
Ci,NA,Cnt_t0,360
Ci,NA,Cnt_t0,420
Ci,NA,Cnt_t0,545
Ci,NA,Cnt_t0,2100
Ci,NA,Cnt_t0,1254
Ci,NA,Cnt_t0,1100
Ci,NA,Cnt_t0,332
Ci,NA,Cnt_t0,1000
Ci,NA,Cnt_t0,1200
Ci,NA,Cnt_t0,820
Ci,NA,Cnt_t0,310
Ci,NA,Cnt_t0,565
Ci,NA,Cnt_t0,1100
Ci,NA,Cnt_t0,412
Ci,NA,Cnt_t0,655
Ci,NA,Cnt_t0,630
Ci,NA,Cnt_t0,670
Ci,NA,Cnt_t0,1030
Ci,NA,Cnt_t0,415
Ci,NA,Cnt_t0,168
Ci,NA,Cnt_t0,230
Ci,NA,Cnt_t0,320
Cf.R1,1,Cnt_t24,121
Cf.R1,1,Cnt_t24,450
Cf.R1,1,Cnt_t24,100
Cf.R1,1,Cnt_t24,250
Cf.R1,1,Cnt_t24,225
Cf.R1,1,Cnt_t24,230
Cf.R1,1,Cnt_t24,980
Cf.R1,1,Cnt_t24,250
Cf.R1,1,Cnt_t24,530
Cf.R1,1,Cnt_t24,90
Cf.R1,1,Cnt_t24,494
Cf.R2,2,Cnt_t24,730
Cf.R2,2,Cnt_t24,100
Cf.R2,2,Cnt_t24,485
Cf.R2,2,Cnt_t24,190
Cf.R2,2,Cnt_t24,290
Cf.R2,2,Cnt_t24,60
Cf.R2,2,Cnt_t24,60
Cf.R2,2,Cnt_t24,124
Cf.R2,2,Cnt_t24,35
Cf.R2,2,Cnt_t24,32
Cf.R2,2,Cnt_t24,26
Cf.R2,2,Cnt_t24,44
Cf.R2,2,Cnt_t24,545
Cf.R2,2,Cnt_t24,270
Cf.R3,3,Cnt_t24,1238
Cf.R3,3,Cnt_t24,75
Cf.R3,3,Cnt_t24,400
Cf.R3,3,Cnt_t24,490
Cf.R3,3,Cnt_t24,1000
Cf.R3,3,Cnt_t24,52
Cf.R3,3,Cnt_t24,500
Cf.R3,3,Cnt_t24,338
Cf.R3,3,Cnt_t24,290
Cf.R3,3,Cnt_t24,235
Cf.R3,3,Cnt_t24,243
Cf.R3,3,Cnt_t24,50
Cf.R3,3,Cnt_t24,153
Cf.R3,3,Cnt_t24,666
Cf.R3,3,Cnt_t24,435
Cf.R4,4,Cnt_t24,439
Cf.R4,4,Cnt_t24,230
Cf.R4,4,Cnt_t24,470
Cf.R4,4,Cnt_t24,590
Cf.R4,4,Cnt_t24,125
Cf.R4,4,Cnt_t24,65
Cf.R4,4,Cnt_t24,500
Cf.R4,4,Cnt_t24,256
Cf.R4,4,Cnt_t24,1200
Cf.R4,4,Cnt_t24,200
Cf.R5,5,Cnt_t24,100
Cf.R5,5,Cnt_t24,131
Cf.R5,5,Cnt_t24,500
Cf.R5,5,Cnt_t24,225
Cf.R5,5,Cnt_t24,880
Cf.R5,5,Cnt_t24,1020
Cf.R5,5,Cnt_t24,733
Cf.R5,5,Cnt_t24,54
Cf.R5,5,Cnt_t24,230
Cf.R5,5,Cnt_t24,250
Cf.R5,5,Cnt_t24,380
Cf.R5,5,Cnt_t24,260
Cf.R5,5,Cnt_t24,180
Cf.R5,5,Cnt_t24,690
Cf.R5,5,Cnt_t24,60
Cf.R5,5,Cnt_t24,68
Cala.R1,1,Cala_t24,955
Cala.R1,1,Cala_t24,300
Cala.R1,1,Cala_t24,700
Cala.R1,1,Cala_t24,2250
Cala.R1,1,Cala_t24,485
Cala.R1,1,Cala_t24,470
Cala.R2,2,Cala_t24,2000
Cala.R2,2,Cala_t24,400
Cala.R2,2,Cala_t24,210
Cala.R2,2,Cala_t24,450
Cala.R2,2,Cala_t24,330
Cala.R2,2,Cala_t24,220
Cala.R2,2,Cala_t24,600
Cala.R2,2,Cala_t24,290
Cala.R2,2,Cala_t24,670
Cala.R3,3,Cala_t24,580
Cala.R3,3,Cala_t24,220
Cala.R3,3,Cala_t24,130
Cala.R3,3,Cala_t24,140
Cala.R3,3,Cala_t24,310
Cala.R3,3,Cala_t24,670
Cala.R3,3,Cala_t24,245
Cala.R3,3,Cala_t24,80
Cala.R3,3,Cala_t24,290
Cala.R3,3,Cala_t24,800
Cala.R4,4,Cala_t24,212.5
Cala.R4,4,Cala_t24,442
Cala.R4,4,Cala_t24,390
Cala.R4,4,Cala_t24,675
Cala.R4,4,Cala_t24,460
Cala.R4,4,Cala_t24,655
Cala.R5,5,Cala_t24,320
Cala.R5,5,Cala_t24,44
Cala.R5,5,Cala_t24,60
Cala.R5,5,Cala_t24,24
Cycl.R1,1,Cycl_t24,336
Cycl.R1,1,Cycl_t24,575
Cycl.R1,1,Cycl_t24,366
Cycl.R1,1,Cycl_t24,680
Cycl.R2,2,Cycl_t24,610
Cycl.R2,2,Cycl_t24,215
Cycl.R2,2,Cycl_t24,280
Cycl.R2,2,Cycl_t24,100
Cycl.R2,2,Cycl_t24,100
Cycl.R2,2,Cycl_t24,360
Cycl.R2,2,Cycl_t24,1100
Cycl.R2,2,Cycl_t24,60
Cycl.R3,3,Cycl_t24,370
Cycl.R3,3,Cycl_t24,190
Cycl.R3,3,Cycl_t24,186
Cycl.R3,3,Cycl_t24,100
Cycl.R3,3,Cycl_t24,180
Cycl.R3,3,Cycl_t24,98
Cycl.R3,3,Cycl_t24,150
Cycl.R3,3,Cycl_t24,220
Cycl.R3,3,Cycl_t24,398
Cycl.R4,4,Cycl_t24,150
Cycl.R4,4,Cycl_t24,170
Cycl.R4,4,Cycl_t24,250
Cycl.R4,4,Cycl_t24,90
Cycl.R4,4,Cycl_t24,230
Cycl.R4,4,Cycl_t24,190
Cycl.R4,4,Cycl_t24,80
Cycl.R4,4,Cycl_t24,80
Cycl.R5,5,Cycl_t24,17
Cycl.R5,5,Cycl_t24,20
Cycl.R5,5,Cycl_t24,763
Cycl.R5,5,Cycl_t24,180
Cycl.R5,5,Cycl_t24,450
Cycl.R5,5,Cycl_t24,88
Cycl.R5,5,Cycl_t24,450
Cycl.R5,5,Cycl_t24,320
Cycl.R5,5,Cycl_t24,550
