Treatment,Season,ZooTaxa,Mean_ind.L,Total.G_ind.L,Total.G_ind.L_SD,Mean_ugDW.L,Total.G_ugDW.L,Total.G_ugDW.L_SD
TotGrazers,Autumn,Diaphanosoma,25.667,265.5,15.0249792,59.14450332,372.3483165,12.19432831
TotGrazers,Autumn,Bosmina,20.167,265.5,15.0249792,12.38657621,372.3483165,12.19432831
TotGrazers,Autumn,Daphnia,3.000,265.5,15.0249792,15.49556648,372.3483165,12.19432831
TotGrazers,Autumn,Calanoid,84.500,265.5,15.0249792,170.8959221,372.3483165,12.19432831
TotGrazers,Autumn,Cyclopoid,6.000,265.5,15.0249792,95.43671605,372.3483165,12.19432831
TotGrazers,Autumn,Nauplii,26.833,265.5,15.0249792,9.247261813,372.3483165,12.19432831
TotGrazers,Autumn,Ceriodaphnia,0.500,265.5,15.0249792,0.262603912,372.3483165,12.19432831
TotGrazers,Autumn,Keratella,70.167,265.5,15.0249792,1.403333333,372.3483165,12.19432831
TotGrazers,Autumn,Kellicottia,1.500,265.5,15.0249792,0.045,372.3483165,12.19432831
TotGrazers,Autumn,Polyarthra,1.333,265.5,15.0249792,1.386666667,372.3483165,12.19432831
TotGrazers,Autumn,Trichocerca,6.500,265.5,15.0249792,1.274,372.3483165,12.19432831
TotGrazers,Autumn,Ploesoma,2.333,265.5,15.0249792,1.360333333,372.3483165,12.19432831
TotGrazers,Autumn,Conochiloides,13.833,265.5,15.0249792,3.458333333,372.3483165,12.19432831
TotGrazers,Autumn,Ascomorpha,1.167,265.5,15.0249792,0.2415,372.3483165,12.19432831
TotGrazers,Autumn,Asplanchna,2.000,265.5,15.0249792,0.31,372.3483165,12.19432831
TotGrazers,Autumn,Filinia,0,265.5,15.0249792,0,372.3483165,12.19432831
MicroGrazers,Autumn,Diaphanosoma,0.5,128.3333333,24.02776172,1.15,25.88283333,13.14302766
MicroGrazers,Autumn,Bosmina,3.166666667,128.3333333,24.02776172,1.931666667,25.88283333,13.14302766
MicroGrazers,Autumn,Daphnia,0,128.3333333,24.02776172,0,25.88283333,13.14302766
MicroGrazers,Autumn,Calanoid,2.666666667,128.3333333,24.02776172,5.386666667,25.88283333,13.14302766
MicroGrazers,Autumn,Cyclopoid,0,128.3333333,24.02776172,0,25.88283333,13.14302766
MicroGrazers,Autumn,Nauplii,8.666666667,128.3333333,24.02776172,2.946666667,25.88283333,13.14302766
MicroGrazers,Autumn,Ceriodaphnia,0,128.3333333,24.02776172,0,25.88283333,13.14302766
MicroGrazers,Autumn,Keratella,75.66666667,128.3333333,24.02776172,1.513333333,25.88283333,13.14302766
MicroGrazers,Autumn,Kellicottia,1.833333333,128.3333333,24.02776172,0.055,25.88283333,13.14302766
MicroGrazers,Autumn,Polyarthra,4.5,128.3333333,24.02776172,4.68,25.88283333,13.14302766
MicroGrazers,Autumn,Trichocerca,6.833333333,128.3333333,24.02776172,1.339333333,25.88283333,13.14302766
MicroGrazers,Autumn,Ploesoma,3.333333333,128.3333333,24.02776172,1.943333333,25.88283333,13.14302766
MicroGrazers,Autumn,Conochiloides,15.33333333,128.3333333,24.02776172,3.833333333,25.88283333,13.14302766
MicroGrazers,Autumn,Ascomorpha,3.833333333,128.3333333,24.02776172,0.7935,25.88283333,13.14302766
MicroGrazers,Autumn,Asplanchna,2,128.3333333,24.02776172,0.31,25.88283333,13.14302766
MicroGrazers,Autumn,Filinia,0,128.3333333,24.02776172,0,25.88283333,13.14302766
TotGrazers,Winter,Diaphanosoma,0.00,144.333,18.502,0,132.6917146,35.59483911
TotGrazers,Winter,Bosmina,1.33,144.333,18.502,0.566175841,132.6917146,35.59483911
TotGrazers,Winter,Daphnia,5.83,144.333,18.502,35.36965053,132.6917146,35.59483911
TotGrazers,Winter,Calanoid,14.67,144.333,18.502,80.54716305,132.6917146,35.59483911
TotGrazers,Winter,Cyclopoid,0.33,144.333,18.502,4.38166922,132.6917146,35.59483911
TotGrazers,Winter,Nauplii,34.50,144.333,18.502,7.878801135,132.6917146,35.59483911
TotGrazers,Winter,Ceriodaphnia,1.00,144.333,18.502,0.551754835,132.6917146,35.59483911
TotGrazers,Winter,Keratella,65.83,144.333,18.502,1.316666667,132.6917146,35.59483911
TotGrazers,Winter,Kellicottia,1.50,144.333,18.502,0.045,132.6917146,35.59483911
TotGrazers,Winter,Polyarthra,0.17,144.333,18.502,0.173333333,132.6917146,35.59483911
TotGrazers,Winter,Trichocerca,0.17,144.333,18.502,0.032666667,132.6917146,35.59483911
TotGrazers,Winter,Ploesoma,0.00,144.333,18.502,0,132.6917146,35.59483911
TotGrazers,Winter,Conochiloides,1.83,144.333,18.502,0.458333333,132.6917146,35.59483911
TotGrazers,Winter,Ascomorpha,4.83,144.333,18.502,1.0005,132.6917146,35.59483911
TotGrazers,Winter,Asplanchna,0.00,144.333,18.502,0,132.6917146,35.59483911
TotGrazers,Winter,Filinia,12.33,144.333,18.502,0.37,132.6917146,35.59483911
MicroGrazers,Winter,Diaphanosoma,0,98,29.69848481,0,10.58752154,5.580241889
MicroGrazers,Winter,Bosmina,0.25,98,29.69848481,0.10615797,10.58752154,5.580241889
MicroGrazers,Winter,Daphnia,0,98,29.69848481,0,10.58752154,5.580241889
MicroGrazers,Winter,Calanoid,0.25,98,29.69848481,1.372963006,10.58752154,5.580241889
MicroGrazers,Winter,Cyclopoid,0,98,29.69848481,0,10.58752154,5.580241889
MicroGrazers,Winter,Nauplii,17.25,98,29.69848481,3.939400567,10.58752154,5.580241889
MicroGrazers,Winter,Ceriodaphnia,0,98,29.69848481,0,10.58752154,5.580241889
MicroGrazers,Winter,Keratella,64,98,29.69848481,1.28,10.58752154,5.580241889
MicroGrazers,Winter,Kellicottia,1.25,98,29.69848481,0.0375,10.58752154,5.580241889
MicroGrazers,Winter,Polyarthra,0,98,29.69848481,0,10.58752154,5.580241889
MicroGrazers,Winter,Trichocerca,0,98,29.69848481,0,10.58752154,5.580241889
MicroGrazers,Winter,Ploesoma,0,98,29.69848481,0,10.58752154,5.580241889
MicroGrazers,Winter,Conochiloides,0.25,98,29.69848481,0.0625,10.58752154,5.580241889
MicroGrazers,Winter,Ascomorpha,4.5,98,29.69848481,0.9315,10.58752154,5.580241889
MicroGrazers,Winter,Asplanchna,1.5,98,29.69848481,0.2325,10.58752154,5.580241889
MicroGrazers,Winter,Filinia,8.75,98,29.69848481,2.625,10.58752154,5.580241889
